证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
比亚迪,比亚迪股份有限公司,,,,,,,,,66714.9897,,,,91500.0,,,114599.2958,,,,,定期报告,2021-03-30,,002594,2020-12-31,,,,,66714.9897,,,272814.2855,,,,,,206099.2958,66714.9897,66714.9897,015019
比亚迪,比亚迪股份有限公司,,,,,,0.0,0.0,,66747.5312,,0.0,,104800.0,,,114566.7543,,,,,增发新股上市,2021-01-29,,002594,2021-01-28,,,,,66747.5312,,,286114.2855,,,,,,219366.7543,66747.5312,66747.5312,015004
比亚迪,比亚迪股份有限公司,,,,,,,,,65808.462,,,,104800.0,,,115505.8235,,,,0.0,定期报告,2021-08-28,,002594,2021-06-30,,,,,65808.462,,,286114.2855,,,,,,220305.8235,65808.462,65808.462,015019
比亚迪,比亚迪股份有限公司,,,,,,0.0,0.0,,65808.462,,0.0,,109800.0,,,115505.8235,,,,0.0,增发新股上市,2021-11-09,,002594,2021-11-08,,,,,65808.462,,,291114.2855,,,,,,225305.8235,65808.462,65808.462,015004
比亚迪,比亚迪股份有限公司,,,,,,,,,65808.462,,,,109800.0,,,115505.8235,,,,0.0,定期报告,2022-03-30,,002594,2021-12-31,,,,,65808.462,,,291114.2855,,,,,,225305.8235,65808.462,65808.462,015019
比亚迪,比亚迪股份有限公司,,,,,,0.0,0.0,,64837.8251,,0.0,,109800.0,,,116476.4604,,,,0.0,其他,2022-06-15,,002594,2022-06-13,,,,,64837.8251,,,291114.2855,,,,,,226276.4604,64837.8251,64837.8251,015999
比亚迪,比亚迪股份有限公司,,,,,,,,,64837.8251,,,,109800.0,,,116476.4604,,,,0.0,定期报告,2022-08-30,,002594,2022-06-30,,,,,64837.8251,,,291114.2855,,,,,,226276.4604,64837.8251,64837.8251,015019
比亚迪,比亚迪股份有限公司,,,,,,,,,64837.8251,,,,109800.0,,,116476.4604,,,,0.0,定期报告,2023-03-29,,002594,2022-12-31,,,,,64837.8251,,,291114.2855,,,,,,226276.4604,64837.8251,64837.8251,015019
比亚迪,比亚迪股份有限公司,,,,,,,,,64837.8251,,,,109800.0,,,116476.4604,,,,0.0,定期报告,2023-08-29,,002594,2023-06-30,,,,,64837.8251,,,291114.2855,,,,,,226276.4604,64837.8251,64837.8251,015019
比亚迪,比亚迪股份有限公司,,,,,,,,,64888.0804,,,,109800.0,,,116426.2051,,,,0.0,定期报告,2024-03-27,,002594,2023-12-31,,,,,64888.0804,,,291114.2855,,,,,,226226.2051,64888.0804,64888.0804,015019
比亚迪,比亚迪股份有限公司,,,,,,0.0,0.0,,64879.5289,,0.0,,109800.0,,,116434.7566,,,,0.0,其他,2024-04-30,,002594,2024-04-26,,,,,64879.5289,,,291114.2855,,,,,,226234.7566,64879.5289,64879.5289,015999
比亚迪,比亚迪股份有限公司,,,,,,0.0,0.0,,64879.5289,,0.0,,109800.0,,,116247.0566,,,,0.0,股份回购,2024-05-14,,002594,2024-05-10,,,,,64879.5289,,,290926.5855,,,,,,226047.0566,64879.5289,64879.5289,015016
比亚迪,比亚迪股份有限公司,,,,,,,,,64880.8339,,,,109800.0,,,116245.7516,,,,0.0,定期报告,2024-08-29,,002594,2024-06-30,,,,,64880.8339,,,290926.5855,,,,,,226045.7516,64880.8339,64880.8339,015019
比亚迪,比亚迪股份有限公司,,,,,,,,,64885.1914,,,,109800.0,,,116241.3941,,,,,定期报告,2025-03-25,,002594,2024-12-31,,,,,64885.1914,,,290926.5855,,,,,,226041.3941,64885.1914,64885.1914,015019
比亚迪,比亚迪股份有限公司,,,,,0.0,0.0,0.0,,64885.1914,,0.0,,122780.0,,,116241.3941,,,,,增发新股上市,2025-03-12,,002594,2025-03-11,,,,,64885.1914,,,303906.5855,,,,,,239021.3941,64885.1914,64885.1914,015004
比亚迪,比亚迪股份有限公司,,,,,,,,,64885.1914,,,,122780.0,,,116241.3941,,,,,定期报告,2025-08-30,,002594,2025-06-30,,,,,64885.1914,,,303906.5855,,,,,,239021.3941,64885.1914,64885.1914,015019
比亚迪,比亚迪股份有限公司,,,,,,0.0,0.0,,194655.5742,,0.0,,368340.0,,,348724.1823,,,,,"送股,转增",2025-07-22,,002594,2025-07-29,,,,,194655.5742,,,911719.7565,,,,,,717064.1823,194655.5742,194655.5742,"015010,015011"
